Nstars,alpha_true,Mmin,Mmax,alpha_fit,alpha_err
2.000000000000000000e+02,1.800000000000000044e+00,1.000000000000000056e-01,1.000000000000000000e+01,1.849200669965614274e+00,7.262441662152319122e-02
2.000000000000000000e+02,1.800000000000000044e+00,1.000000000000000056e-01,3.000000000000000000e+01,1.822990106377922803e+00,6.589393282767211368e-02
2.000000000000000000e+02,1.800000000000000044e+00,1.000000000000000056e-01,1.000000000000000000e+02,1.800707839141834299e+00,6.113612602277238017e-02
2.000000000000000000e+02,1.800000000000000044e+00,5.000000000000000000e-01,3.000000000000000000e+01,1.811221770303347300e+00,7.699115901875691614e-02
2.000000000000000000e+02,1.800000000000000044e+00,1.000000000000000000e+00,1.000000000000000000e+02,1.747944071655965104e+00,6.852152256200394476e-02
2.000000000000000000e+02,2.000000000000000000e+00,1.000000000000000056e-01,1.000000000000000000e+01,1.936197609875702774e+00,7.698303063512464128e-02
2.000000000000000000e+02,2.000000000000000000e+00,1.000000000000000056e-01,3.000000000000000000e+01,2.030848701471608564e+00,7.815114380425322582e-02
2.000000000000000000e+02,2.000000000000000000e+00,1.000000000000000056e-01,1.000000000000000000e+02,1.943165880762931064e+00,6.860857282594187700e-02
2.000000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e-01,3.000000000000000000e+01,1.920498789819564678e+00,8.012769891924968746e-02
2.000000000000000000e+02,2.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+02,1.968040280172797418e+00,7.872349155931737674e-02
2.000000000000000000e+02,2.200000000000000178e+00,1.000000000000000056e-01,1.000000000000000000e+01,2.262208254153275533e+00,9.538173136247850292e-02
2.000000000000000000e+02,2.200000000000000178e+00,1.000000000000000056e-01,3.000000000000000000e+01,2.250519941772871846e+00,8.946508915105529092e-02
2.000000000000000000e+02,2.200000000000000178e+00,1.000000000000000056e-01,1.000000000000000000e+02,2.188769114510899172e+00,8.471721933163622875e-02
2.000000000000000000e+02,2.200000000000000178e+00,5.000000000000000000e-01,3.000000000000000000e+01,2.114848438845514877e+00,8.933215401912791842e-02
2.000000000000000000e+02,2.200000000000000178e+00,1.000000000000000000e+00,1.000000000000000000e+02,2.260979841823617331e+00,9.478083382715346561e-02
2.000000000000000000e+02,2.399999999999999911e+00,1.000000000000000056e-01,1.000000000000000000e+01,2.400916142516968499e+00,1.018001122108596751e-01
2.000000000000000000e+02,2.399999999999999911e+00,1.000000000000000056e-01,3.000000000000000000e+01,2.537606331034708340e+00,1.103015249538130127e-01
2.000000000000000000e+02,2.399999999999999911e+00,1.000000000000000056e-01,1.000000000000000000e+02,2.271794531799299577e+00,9.248907979187735717e-02
2.000000000000000000e+02,2.399999999999999911e+00,5.000000000000000000e-01,3.000000000000000000e+01,2.446182218295447797e+00,1.077607470395554184e-01
2.000000000000000000e+02,2.399999999999999911e+00,1.000000000000000000e+00,1.000000000000000000e+02,2.525306809052417556e+00,1.087181097471771329e-01
2.000000000000000000e+02,2.600000000000000089e+00,1.000000000000000056e-01,1.000000000000000000e+01,2.634312569120976555e+00,1.178254059825054600e-01
2.000000000000000000e+02,2.600000000000000089e+00,1.000000000000000056e-01,3.000000000000000000e+01,2.625833245286581352e+00,1.152840902818553781e-01
2.000000000000000000e+02,2.600000000000000089e+00,1.000000000000000056e-01,1.000000000000000000e+02,2.706050052456566046e+00,1.217653519011168001e-01
2.000000000000000000e+02,2.600000000000000089e+00,5.000000000000000000e-01,3.000000000000000000e+01,2.698350123651129362e+00,1.224240921002955756e-01
2.000000000000000000e+02,2.600000000000000089e+00,1.000000000000000000e+00,1.000000000000000000e+02,2.850948415183444773e+00,1.309607104771758068e-01
5.000000000000000000e+02,1.800000000000000044e+00,1.000000000000000056e-01,1.000000000000000000e+01,1.862440637741744842e+00,4.605160846728577340e-02
5.000000000000000000e+02,1.800000000000000044e+00,1.000000000000000056e-01,3.000000000000000000e+01,1.820470765832386650e+00,4.143847212605822339e-02
5.000000000000000000e+02,1.800000000000000044e+00,1.000000000000000056e-01,1.000000000000000000e+02,1.836499723618473912e+00,3.919438529888624734e-02
5.000000000000000000e+02,1.800000000000000044e+00,5.000000000000000000e-01,3.000000000000000000e+01,1.808424998214542834e+00,4.842484333595022117e-02
5.000000000000000000e+02,1.800000000000000044e+00,1.000000000000000000e+00,1.000000000000000000e+02,1.803328663270165499e+00,4.518308162354704033e-02
5.000000000000000000e+02,2.000000000000000000e+00,1.000000000000000056e-01,1.000000000000000000e+01,1.950755722448938245e+00,4.916427533164169361e-02
5.000000000000000000e+02,2.000000000000000000e+00,1.000000000000000056e-01,3.000000000000000000e+01,1.942253776486244643e+00,4.562739949863381383e-02
5.000000000000000000e+02,2.000000000000000000e+00,1.000000000000000056e-01,1.000000000000000000e+02,2.043588473608409117e+00,4.863055557158621478e-02
5.000000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e-01,3.000000000000000000e+01,1.947874683334998247e+00,5.189368189459467318e-02
5.000000000000000000e+02,2.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+02,2.066826311897181689e+00,5.325550971643624315e-02
5.000000000000000000e+02,2.200000000000000178e+00,1.000000000000000056e-01,1.000000000000000000e+01,2.205425035068756756e+00,5.685629396459291468e-02
5.000000000000000000e+02,2.200000000000000178e+00,1.000000000000000056e-01,3.000000000000000000e+01,2.109640294708089669e+00,5.152432075590714089e-02
5.000000000000000000e+02,2.200000000000000178e+00,1.000000000000000056e-01,1.000000000000000000e+02,2.291018886597180781e+00,5.885061488733895479e-02
5.000000000000000000e+02,2.200000000000000178e+00,5.000000000000000000e-01,3.000000000000000000e+01,2.223272206593509548e+00,6.074878483580598704e-02
5.000000000000000000e+02,2.200000000000000178e+00,1.000000000000000000e+00,1.000000000000000000e+02,2.226705091091139010e+00,5.902032543040353074e-02
5.000000000000000000e+02,2.399999999999999911e+00,1.000000000000000056e-01,1.000000000000000000e+01,2.496067416976119002e+00,6.963193791067030791e-02
5.000000000000000000e+02,2.399999999999999911e+00,1.000000000000000056e-01,3.000000000000000000e+01,2.471696841835586245e+00,6.630479706242307925e-02
5.000000000000000000e+02,2.399999999999999911e+00,1.000000000000000056e-01,1.000000000000000000e+02,2.335164845605647965e+00,6.028229855717827379e-02
5.000000000000000000e+02,2.399999999999999911e+00,5.000000000000000000e-01,3.000000000000000000e+01,2.330383698485658073e+00,6.359551866142774956e-02
5.000000000000000000e+02,2.399999999999999911e+00,1.000000000000000000e+00,1.000000000000000000e+02,2.380913194516300457e+00,6.399392236068304762e-02
5.000000000000000000e+02,2.600000000000000089e+00,1.000000000000000056e-01,1.000000000000000000e+01,2.678378939944892956e+00,7.687538746436108072e-02
5.000000000000000000e+02,2.600000000000000089e+00,1.000000000000000056e-01,3.000000000000000000e+01,2.514966890980960823e+00,6.843719224911143373e-02
5.000000000000000000e+02,2.600000000000000089e+00,1.000000000000000056e-01,1.000000000000000000e+02,2.465552273809751060e+00,6.436233330811061415e-02
5.000000000000000000e+02,2.600000000000000089e+00,5.000000000000000000e-01,3.000000000000000000e+01,2.567955333168902676e+00,7.256885292845269286e-02
5.000000000000000000e+02,2.600000000000000089e+00,1.000000000000000000e+00,1.000000000000000000e+02,2.580942056180325128e+00,7.297207123061126566e-02
1.000000000000000000e+03,1.800000000000000044e+00,1.000000000000000056e-01,1.000000000000000000e+01,1.783068413316632572e+00,3.137174562197087013e-02
1.000000000000000000e+03,1.800000000000000044e+00,1.000000000000000056e-01,3.000000000000000000e+01,1.791445518211657761e+00,2.821351779179223640e-02
1.000000000000000000e+03,1.800000000000000044e+00,1.000000000000000056e-01,1.000000000000000000e+02,1.765618324529812044e+00,2.605327593597147814e-02
1.000000000000000000e+03,1.800000000000000044e+00,5.000000000000000000e-01,3.000000000000000000e+01,1.733630838840090505e+00,3.253018290744320168e-02
1.000000000000000000e+03,1.800000000000000044e+00,1.000000000000000000e+00,1.000000000000000000e+02,1.803529846735951292e+00,3.169181091518750992e-02
1.000000000000000000e+03,2.000000000000000000e+00,1.000000000000000056e-01,1.000000000000000000e+01,2.057021960641463032e+00,3.717558809594039004e-02
1.000000000000000000e+03,2.000000000000000000e+00,1.000000000000000056e-01,3.000000000000000000e+01,2.034894171207093372e+00,3.464481732505335365e-02
1.000000000000000000e+03,2.000000000000000000e+00,1.000000000000000056e-01,1.000000000000000000e+02,2.014039275792128159e+00,3.289632059992826651e-02
1.000000000000000000e+03,2.000000000000000000e+00,5.000000000000000000e-01,3.000000000000000000e+01,1.978410739471357260e+00,3.701450053194452194e-02
1.000000000000000000e+03,2.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+02,1.966522331638116627e+00,3.487643880675903030e-02
1.000000000000000000e+03,2.200000000000000178e+00,1.000000000000000056e-01,1.000000000000000000e+01,2.217171941034872695e+00,4.164376163727475516e-02
1.000000000000000000e+03,2.200000000000000178e+00,1.000000000000000056e-01,3.000000000000000000e+01,2.189339512171747604e+00,3.921167919906131533e-02
1.000000000000000000e+03,2.200000000000000178e+00,1.000000000000000056e-01,1.000000000000000000e+02,2.193193952464705276e+00,3.828182195596548099e-02
1.000000000000000000e+03,2.200000000000000178e+00,5.000000000000000000e-01,3.000000000000000000e+01,2.186876750623521826e+00,4.173665530854674816e-02
1.000000000000000000e+03,2.200000000000000178e+00,1.000000000000000000e+00,1.000000000000000000e+02,2.266885569818279045e+00,4.168751927287896869e-02
