Table 1 
Literature Constraints on the IMF Slope


	Cluster	log (N)	log (M_max, obs/M_comp)	alpha	sigma	Min. Mass	Max. Mass	$\frac{\Delta \alpha _{{\rm literature}}}{\Delta \alpha _{{\rm theory}}}$	Reference
1	NGC 2323	3.31	0.99	2.94	0.15	0.4	3.9	1.66	Kalirai et al. (2003)	
2	M11	3.26	0.49	2.49	0.09	1.1	3.4	0.32	Santos et al. (2005)	
3	NGC 663	3.15	0.8	2.38	0.22	1.6	10.0	1.54	Pandey et al. (2005)	
4	NGC 2168	3.0	0.78	2.29	0.27	0.6	3.6	1.76	Kalirai et al. (2003)	
5	NGC 2422	2.6	0.44	3.07	0.08	0.9	2.5	0.23	Prisinzano et al. (2003)	
6	Tr23	2.48	0.32	2.4	0.6	1.0	2.1	1.42	Bonatto & Bica (2007)	
7	Stock2	2.31	0.44	3.01	0.4	1.5	4.1	1.05	Sanner & Geffert (2001)	
8	NGC 4852	2.3	0.73	2.3	0.3	0.6	3.2	1.38	Carraro et al. (2005)	
9	NGC 654	2.26	0.98	2.16	0.05	1.2	11.5	0.41	Pandey et al. (2005)	
10	NGC 4349	2.21	0.44	2.18	0.12	1.8	5.0	0.3	Tarrab (1982)	
11	Orion	2.13	1.04	2.39	0.15	1.3	14.1	1.31	Tarrab (1982)	
12	Pleiades	2.1	0.61	2.99	0.4	1.0	4.1	1.31	Sanner & Geffert (2001)	
13	Ly9	2.09	0.32	2.1	0.7	1.1	2.3	1.41	Bonatto & Bica (2007)	
14	NGC 3532	2.06	0.45	2.55	0.21	1.6	4.5	0.5	Tarrab (1982)	
15	Ly4	2.02	0.28	2.3	0.2	1.0	1.9	0.37	Bonatto & Bica (2007)	
16	NGC 5715	1.97	0.3	2.3	0.5	1.1	2.2	0.92	Bonatto & Bica (2007)	
17	CygOB2	1.97	1.0	1.9	0.2	10.0	100.0	1.48	Massey et al. (1995a)	
18	alphaPer	1.95	0.84	2.73	0.23	1.3	8.9	1.14	Tarrab (1982)	
